ID,Phys2Final,csem_pre,fmce_pre,Phys1Final,Percentile,Phys2A,VectorCalcPrior,Phys1A,Freshmen,MC,FR
13,60,2,3,77,88,1,0,1,1,36,24
348,68.5,16,40,94,100,0,1,0,1,32,36.5
142,74.5,16,41,94,95,0,0,0,1,36,38.5
45,65.5,21,43,87,97,0,0,0,1,32,33.5
377,59.5,15,37,76.5,97,0,1,0,1,30,29.5
307,80,21,NA,NA,NA,0,1,0,0,40,40
90,53.5,15,23,58,92,1,1,0,1,26,27.5
127,59,10,16,69.5,98,0,1,0,1,32,27
149,51,15,NA,NA,NA,0,1,0,0,24,27
99,73,0,NA,NA,NA,0,1,0,0,36,37
346,71,14,35,69,96,0,0,0,1,38,33
435,52.5,4,9,54,91,0,0,1,1,26,26.5
28,75.5,11,NA,NA,NA,0,1,0,0,40,35.5
277,76.5,19,29,85,88,0,1,0,1,40,36.5
41,54.5,16,34,61,96,0,1,0,1,30,24.5
293,73.5,13,26,86,94,0,0,1,1,36,37.5
27,66,9,7,65,77,1,1,1,1,30,36
418,76,0,NA,NA,NA,0,1,0,0,38,38
188,62.5,21,NA,NA,NA,0,1,0,0,32,30.5
64,74,23,NA,NA,NA,0,1,0,0,36,38
114,32,6,11,31,85,0,0,1,1,24,8
258,77,9,NA,NA,NA,0,1,0,0,38,39
296,63.5,14,24,71,92,1,1,0,1,28,35.5
458,NA,13,29,81,99,0,1,0,1,0,0
145,42.5,14,26,58,86,0,1,0,1,20,22.5
79,58,15,23,75.5,96,0,1,0,1,30,28
207,75,19,44,84,97,0,1,0,1,38,37
278,64,10,17,83,92,0,1,0,1,32,32
6,67.5,9,NA,84,98,0,0,0,1,34,33.5
436,79.5,15,43,91,96,0,1,0,1,40,39.5
19,48.5,6,12,58,92,0,1,0,1,28,20.5
68,60.5,11,44,75,96,0,0,0,1,28,32.5
299,62.5,24,43,78.5,91,0,1,0,1,34,28.5
256,52,12,15,69,96,0,0,0,1,28,24
287,68.5,8,17,81,95,0,1,0,1,34,34.5
395,20,6,14,52,96,0,0,0,1,10,10
385,73,9,11,83,91,0,0,0,1,36,37
332,73,17,22,82.5,91,0,1,0,1,36,37
153,12,NA,NA,64,96,0,0,0,1,10,2
191,72.5,12,43,87,97,0,1,0,1,36,36.5
222,78,10,44,96,100,0,1,0,1,38,40
353,63.5,10,24,84,98,0,1,0,1,34,29.5
360,77.5,14,NA,NA,NA,0,1,0,0,38,39.5
379,66,13,NA,NA,NA,0,1,0,0,34,32
400,75,NA,NA,NA,NA,0,0,0,0,38,37
406,73,17,47,91,98,0,1,0,1,36,37
411,74,10,15,88,98,0,1,0,1,38,36
89,60.5,18,34,88,96,0,1,0,1,30,30.5
156,71,13,17,81,91,1,1,0,1,38,33
2,79,14,45,95,96,0,1,0,1,40,39
43,70.5,20,38,95,91,0,1,0,1,36,34.5
206,61,11,33,74.5,88,0,0,0,1,36,25
203,64.5,11,42,91,98,0,1,0,1,32,32.5
124,34,20,34,74,100,0,1,0,1,24,10
148,50.5,14,14,65,92,1,1,0,1,30,20.5
421,75,17,NA,NA,NA,0,1,0,0,36,39
39,75,16,34,82,98,0,0,0,1,36,39
376,60.5,7,16,64.5,85,1,0,1,1,28,32.5
110,57,15,32,71,91,0,0,0,1,28,29
210,49.5,4,20,48,92,0,1,0,1,20,29.5
209,42,7,9,62,89,1,0,0,1,20,22
169,79,13,46,87.5,100,0,1,0,1,40,39
253,75,13,34,94,96,0,1,0,1,38,37
442,78,16,NA,NA,NA,0,1,0,0,38,40
220,67,3,15,87,93,0,1,0,1,32,35
26,80,18,34,90,96,0,1,0,1,40,40
138,62,10,19,84,89,0,1,0,1,32,30
24,71,8,31,78,95,0,1,0,1,36,35
14,61,9,20,65.5,88,1,0,0,1,32,29
42,77.5,18,NA,NA,NA,0,1,0,0,40,37.5
9,63.5,4,23,77,85,1,1,0,1,32,31.5
143,72.5,12,41,85,92,0,0,0,1,34,38.5
59,73,13,34,85,100,0,0,0,1,36,37
179,63,NA,44,76,98,0,0,0,1,28,35
226,31,12,NA,NA,NA,0,1,0,0,22,9
241,71,17,NA,NA,NA,0,1,0,0,32,39
257,70,13,42,83.5,89,0,1,0,1,36,34
259,80,10,17,79,97,0,1,0,1,40,40
260,79.5,14,27,91,96,0,1,0,1,40,39.5
389,76.5,24,45,92,98,0,1,0,1,38,38.5
356,62.5,14,35,85,98,0,1,0,1,28,34.5
344,75.5,19,33,96,92,0,1,0,1,38,37.5
343,76.5,13,34,94,100,0,1,0,1,38,38.5
408,71,13,16,80,98,0,1,0,1,38,33
414,63.5,12,NA,80,100,0,1,0,1,34,29.5
446,59,NA,42,54,100,0,0,0,1,28,31
