ID,Freshmen,Percentile,Phys1A,FinalExam,preFMCE
323,1,100,0,96,46
324,1,95,0,71,45
325,1,98,0,93,45
326,1,95,0,92,NA
327,1,97,0,91,46
328,1,99,0,87,36
329,1,96,0,68,22
330,1,96,0,84,20
331,1,97,0,95,45
332,1,92,0,87,28
333,1,94,1,83,12
334,1,100,0,86,25
335,1,96,0,86,38
336,1,93,0,74,10
337,1,100,0,55,22
338,1,93,0,92,46
339,1,99,0,92,11
340,1,94,0,81,38
341,1,88,0,92,47
342,1,100,0,96,45
343,1,91,1,64,9
344,1,96,0,92,40
345,1,95,0,74,28
346,1,89,0,70,14
347,1,89,0,81,12
348,1,96,0,74,NA
349,1,94,1,66,13
350,1,99,0,75,38
351,1,97,0,93,NA
352,1,98,0,95,36
353,1,79,1,NA,NA
354,1,77,0,96,NA
355,1,98,0,91.5,39
356,1,96,0,93,32
357,1,91,0,91,11
358,1,100,0,79,33
359,1,88,1,77,3
360,1,98,0,91,22
361,1,100,0,94,40
362,1,92,0,66.5,9
363,1,95,0,94,41
364,1,97,0,87,43
365,1,97,1,75,41
366,1,97,0,76.5,37
367,1,92,0,58,23
368,1,98,0,69.5,16
369,1,96,0,59,34
370,1,92,0,81,27
371,1,96,0,69,35
372,1,89,0,83,14
373,1,91,1,54,9
374,1,88,0,85,29
375,1,96,0,61,34
376,1,94,1,86,26
377,1,77,1,65,7
378,1,97,0,89,46
379,1,100,0,75,43
380,1,85,1,77,20
381,1,85,1,31,11
382,1,92,0,71,24
383,1,99,0,81,29
384,1,86,0,58,26
385,1,96,0,75.5,23
386,1,97,0,84,44
387,1,92,0,83,17
388,1,98,0,84,NA
389,1,96,0,91,43
390,1,91,0,NA,NA
391,1,94,0,73,31
392,1,92,0,58,12
393,1,96,0,75,44
394,1,89,0,35,22
395,1,91,0,78.5,43
396,1,96,0,69,15
397,1,85,0,72,20
398,1,95,0,81,17
399,1,90,0,75,11
400,1,96,0,52,14
401,1,91,0,83,11
402,1,91,0,82.5,22
403,1,96,0,64,NA
404,1,97,0,87,43
405,1,100,0,96,44
406,1,85,0,26,10
407,1,87,0,82,14
408,1,96,0,77,25
409,1,91,1,60,8
410,1,98,0,82,10
411,1,98,0,91,41
412,1,96,0,84,42
413,1,98,0,84,24
414,1,98,0,91,47
415,1,98,0,88,15
416,1,96,0,71,10
417,1,96,0,88,34
418,1,91,0,81,17
419,1,96,0,95,45
420,1,91,0,95,38
421,1,97,0,66,34
422,1,85,1,88,NA
423,1,88,0,74.5,33
424,1,98,0,91,42
425,1,96,1,66,8
426,1,100,0,80,32
427,1,89,0,39,21
428,1,100,0,74,34
429,1,84,0,68,7
430,1,92,0,65,14
431,1,96,1,81,23
432,1,97,0,60.5,34
433,1,98,0,82,33
434,1,98,0,82,34
435,1,89,1,67,8
436,1,85,1,64.5,16
437,1,91,0,71,32
438,1,92,0,48,20
439,1,89,0,62,9
440,1,100,0,87.5,46
441,1,96,0,94,34
442,1,98,0,71,45
443,1,100,0,94,14
444,1,93,0,80.5,39
445,1,93,0,87,15
446,1,96,0,87,NA
447,1,96,0,90,34
448,1,89,0,84,19
449,1,95,0,78,31
450,1,88,0,65.5,20
451,1,95,0,82,28
452,1,85,0,77,23
453,1,91,0,67,46
454,1,92,0,85,41
455,1,100,0,85,34
456,1,85,0,66,NA
457,1,98,0,85,34
458,1,98,0,76,44
459,1,98,0,90,32
460,1,89,0,83.5,42
461,1,97,0,79,17
462,1,96,0,91,27
463,1,94,0,65,27
464,1,96,0,81,NA
465,1,98,0,92,45
466,1,98,0,85,35
467,1,100,0,NA,NA
468,1,97,0,96,40
469,1,92,0,96,33
470,1,100,0,94,34
471,1,98,0,80,16
472,1,100,0,70,28
473,1,100,0,80,NA
474,1,85,1,34,24
475,1,100,0,54,42
476,1,100,0,72,35
477,1,100,0,57,12
478,1,89,1,63,14
479,1,97,0,79,47
480,1,95,0,61,6
481,1,97,0,47,NA
482,1,96,0,66,13
483,1,98,0,87,36
484,1,93,1,65,8
485,1,99,0,87,44
486,1,90,1,74,NA
487,1,100,0,83,38
488,1,98,0,96,39
489,1,98,0,75,16
490,1,100,0,45,8
491,1,98,0,84,NA
492,1,94,0,70,8
493,1,97,0,72,28
494,1,100,0,78,24
495,1,97,0,82,23
496,1,97,1,91,28
497,1,77,1,56,9
498,1,100,0,93,35
499,1,91,1,85,45
500,1,98,0,78,12
501,1,79,1,79.5,12
502,1,97,0,83,46
503,1,89,0,51,21
504,1,97,0,84,40
505,1,81,1,69,13
506,1,93,0,77,17
507,1,91,1,78,15
508,1,96,0,79,NA
509,1,95,0,79,30
510,1,96,0,85,42
511,1,96,0,61,32
512,0,78,1,69,15
513,1,96,1,81,37
514,0,93,0,89,31
515,0,100,0,98,17
516,0,97,0,92,47
517,0,100,0,93,46
518,0,95,1,86,30
519,NA,NA,NA,NA,NA
520,NA,NA,NA,NA,NA
521,NA,NA,NA,NA,NA
522,NA,NA,NA,NA,NA
523,NA,NA,NA,NA,NA
524,NA,NA,NA,NA,NA
525,NA,NA,NA,NA,NA
526,NA,NA,NA,NA,NA
527,NA,NA,NA,NA,NA
528,NA,NA,NA,NA,NA
529,NA,NA,NA,NA,NA
530,NA,NA,NA,NA,NA
531,NA,NA,NA,NA,NA
532,NA,NA,NA,NA,NA
533,NA,NA,NA,NA,NA
534,NA,NA,NA,NA,NA
535,NA,NA,NA,NA,NA
536,NA,NA,NA,NA,NA
537,NA,NA,NA,NA,NA
538,NA,NA,NA,NA,NA
539,NA,NA,NA,NA,NA
540,NA,NA,NA,NA,NA
541,NA,NA,NA,NA,NA
542,NA,NA,NA,NA,NA
543,NA,NA,NA,NA,NA
544,NA,NA,NA,NA,NA
545,NA,NA,NA,NA,NA
546,NA,NA,NA,NA,NA
547,NA,NA,NA,NA,NA
548,NA,NA,NA,NA,NA
549,NA,NA,NA,NA,NA
550,NA,NA,NA,NA,NA
551,NA,NA,NA,NA,NA
552,NA,NA,NA,NA,NA
553,NA,NA,NA,NA,NA
554,NA,NA,NA,NA,NA
555,NA,NA,NA,NA,NA
556,NA,NA,NA,NA,NA
557,NA,NA,NA,NA,NA
558,NA,NA,NA,NA,NA
559,NA,NA,NA,NA,NA
560,NA,NA,NA,NA,NA
561,NA,NA,NA,NA,NA
562,NA,NA,NA,NA,NA
563,NA,NA,NA,NA,NA
564,NA,NA,NA,NA,NA
565,NA,NA,NA,NA,NA
566,NA,NA,NA,NA,NA
567,NA,NA,NA,NA,NA
568,NA,NA,NA,NA,NA
569,NA,NA,NA,NA,NA
570,NA,NA,NA,NA,NA
571,NA,NA,NA,NA,NA
572,NA,NA,NA,NA,NA
573,NA,NA,NA,NA,NA
574,NA,NA,NA,NA,NA
575,NA,NA,NA,NA,NA
576,NA,NA,NA,NA,NA
577,NA,NA,NA,NA,NA
578,NA,NA,NA,NA,NA
579,NA,NA,NA,NA,NA
580,NA,NA,NA,NA,NA
581,NA,NA,NA,NA,NA
582,NA,NA,NA,NA,NA
583,NA,NA,NA,NA,NA
584,NA,NA,NA,NA,NA
585,NA,NA,NA,NA,NA
586,NA,NA,NA,NA,NA
