GENDER	AGE	PT1	LT1	STEP1	TT1	RESULT1	PT2	LT2	STEP2	TT2	RESULT2	PT3	LT3	STEP3	TT3	RESULT3	PT4	LT4	STEP4	TT4	RESULT4	PT5	LT5	STEP5	TT5	RESULT5	PT6	LT6	STEP6	TT6	RESULT6	PT7	LT7	STEP7	TT7	RESULT7	PT8	LT8	STEP8	TT8	RESULT8	PT9	LT9	STEP9	TT9	RESULT9	PT10	LT10	STEP10	TT10	RESULT10
1	19.58	32391	35922	46	51047	1	20843	22343	17	26750	1	14407	16594	20	25157	1	26563	27844	27	36703	1	10797	19531	42	30344	1	11609	18828	25	34531	1	27703	33141	36	45532	1	17547	19906	39	39250	1	16140	17890	48	35312	1	42391	46032	47	68766	1
0	19.92	13594	15328	46	31125	1	11157	12047	17	15969	1	7515	9062	20	13390	1	6500	7359	33	17187	1	6078	11094	42	20265	1	33328	34937	23	43281	1	10656	20547	46	28641	1	6219	7406	39	21422	1	48688	48985	46	63329	1	16687	18484	46	36156	1
0	20.5	22859	23937	46	36187	1	27656	28515	17	32765	1	10031	11156	22	18453	1	14625	15515	29	25546	1	15688	20094	42	30329	1	46313	49359	23	60344	1	27422	35672	36	52016	1	25110	26282	39	35813	1	64235	65313	46	78094	1	11687	13078	46	30422	1
0	21.5	63500	65422	45	123782	1	83953	88703	17	96062	1	30500	32109	20	38984	1	93171	94640	29	118359	1	69344	77219	44	90266	1	33281	41562	23	60281	1	177328	182140	47	213531	1	222328	231391	33	304703	1	124531	125844	44	157156	1	57968	61562	47	85906	1
0	20.33	169734	171078	46	192531	1	11593	13218	17	17406	1	31063	33578	20	86828	1	36312	37266	27	51250	1	20891	26469	42	46547	1	12547	14500	29	38266	1	23500	48953	36	56140	1	39500	41031	39	78781	1	45562	46625	44	63734	1	173860	175250	46	200360	1
1	21.67	31953	33281	52	49578	1	14422	15719	17	20031	1	7203	8500	22	13015	1	9484	10438	27	17750	1	11891	16110	42	22422	1	10843	12765	23	18281	1	56563	59547	36	67250	1	16266	17672	39	27594	1	20563	20797	46	41688	1	20672	22094	46	35110	1
0	20.67	19375	21625	46	47313	1	16859	18062	17	23718	1	14625	16187	20	23203	1	16063	17703	27	29610	1	16484	22906	42	34750	1	21531	24281	23	31969	1	21390	26812	36	42046	1	24609	26953	33	48500	1	11407	15797	44	65954	1	39938	42625	46	62969	1
1	20.33	17031	18359	52	37687	1	13938	14953	17	18578	1	28938	30063	20	34313	1	27765	28562	32	35484	1	8953	13312	42	19687	1	15610	18203	23	22750	1	16062	18078	29	27016	1	30890	32156	33	42156	1	8172	9062	46	31390	1	13375	14703	46	26500	1
0	20.5	90406	91297	48	118844	1	13329	14188	17	17610	1	8656	9344	22	13891	1	60640	61797	29	73828	1	105140	108953	42	113953	1	10266	11547	25	17125	1	25313	27688	54	38313	1	18704	19719	39	29204	1	78406	79375	44	99735	1	28250	29828	46	41047	1
0	19.25	21484	22781	45	218750	1	13094	14094	17	23828	1	17485	18469	20	23297	1	24671	25484	27	32890	1	13500	19906	44	28156	1	33906	35859	23	41531	1	88015	90687	29	98125	1	64062	65141	33	77922	1	59235	60079	44	85047	1	43875	45187	46	205921	1
0	21.67	12343	14046	46	40437	1	21422	22516	17	27094	1	29204	30735	20	37938	1	22516	23656	27	32125	1	94500	100656	42	109453	1	19703	23625	23	30921	1	32203	37266	29	44547	1	8562	10562	39	38593	1	19875	20985	44	43078	1	37562	39484	46	94250	1
1	21.58	6125	8016	46	25297	1	8782	10953	17	15047	1	10578	17422	20	25891	1	12016	12953	27	20438	1	5078	9750	42	17375	1	6297	8188	23	13000	1	12453	15375	36	27016	1	8203	10375	39	33875	1	11719	13110	46	32391	1	20687	22093	48	42250	1
0	22.5	8922	10438	48	36328	1	21266	22109	17	29562	1	20063	21469	20	27657	1	8781	9860	27	21016	1	10219	16313	42	25985	1	41937	43922	23	55953	1	22531	32734	45	51125	1	8625	21344	39	34422	1	16046	17234	46	40031	1	14093	22172	46	39562	1
0	20.58	6797	7922	46	25656	1	12578	13266	17	16797	1	8781	11141	20	15828	1	11156	12000	27	18547	1	11922	16219	42	23344	1	17265	19078	23	23953	1	13750	22813	29	29750	1	5828	7031	39	16391	1	5954	6907	44	19719	1	8781	10235	70	33500	1
0	21.67	10500	17390	52	32453	1	9234	12687	17	15687	1	4640	5484	22	9015	1	6609	7312	29	12984	1	3688	7547	42	12469	1	9953	12969	23	16250	1	9891	12469	45	23891	1	9813	11875	39	19531	1	8937	10687	44	26140	1	10344	11344	47	22531	1
0	20.67	59891	61407	47	87938	1	11937	23344	19	29453	1	14313	16453	22	26297	1	28016	32063	29	50859	1	16844	39094	42	53625	1	43000	45765	23	51656	1	36797	43937	29	63031	1	27891	32453	33	47859	1	53500	56468	44	93406	1	10828	12890	48	75390	1
0	21.17	36125	38063	48	86406	1	33125	34360	17	43516	1	35063	37750	20	95969	1	34172	36172	27	51969	1	114453	122875	44	137047	1	347547	364172	23	386563	1	58032	62969	36	76719	1	107422	110000	39	140203	1	61890	63390	44	99218	1	90000	92406	46	127109	1
0	19.83	12641	15047	45	44157	1	13218	15781	17	22593	1	19907	22047	20	33360	1	26125	27734	27	45891	1	24297	47750	44	65531	1	12000	16672	25	28750	1	14375	22985	36	43797	1	25641	27985	39	51813	1	13984	23469	46	69219	1	114437	117500	50	157062	1
0	20.25	23297	25281	46	47234	1	50188	52813	17	57704	1	18359	19781	20	26500	1	13625	15000	27	24235	1	32641	38750	42	50282	1	12468	16921	23	24906	1	34656	39234	36	48796	1	17797	24359	39	42922	1	48875	49922	46	79781	1	57922	62797	46	92344	1
0	21.17	20469	22250	46	49297	1	14922	15766	17	20875	1	28937	30781	20	40390	1	8297	12203	27	22031	1	29000	34141	42	43438	1	25641	28203	23	34297	1	21672	25625	36	35328	1	7406	9406	39	21125	1	21859	22921	44	39937	1	30328	38125	46	56016	1
0	21.58	13187	15015	48	31187	1	11688	16656	19	21156	1	6937	13469	22	18312	1	19094	26641	47	75750	1	3281	12172	44	20828	1	19531	21000	23	26765	1	44000	50735	36	61563	1	1765	16625	39	27250	1	11984	28515	52	57312	1	5531	20094	60	45797	1
0	20.42	1703	30641	46	52360	1	33704	34485	17	38157	1	35000	36094	20	41797	1	21641	22625	27	32453	1	22985	28141	44	35313	1	19063	20453	23	30031	1	49235	51625	50	78219	1	32219	33704	41	47344	1	31485	32313	46	58188	1	55078	56406	48	83891	1
0	20.58	29797	31719	52	51015	1	18813	22234	17	26781	1	13453	15843	20	28359	1	26422	27640	27	39547	1	10250	16156	42	27672	1	16156	20750	23	30390	1	16703	22218	36	34750	1	16922	21797	39	36656	1	60953	62063	46	80891	1	47141	49125	46	67813	1
