"GENDER" "AGE" "PT1" "LT1" "STEP1" "TT1" "RESULT1" "PT2" "LT2" "STEP2" "TT2" "RESULT2" "PT3" "LT3" "STEP3" "TT3" "RESULT3" "PT4" "LT4" "STEP4" "TT4" "RESULT4" "PT5" "LT5" "STEP5" "TT5" "RESULT5" "PT6" "LT6" "STEP6" "TT6" "RESULT6" "PT7" "LT7" "STEP7" "TT7" "RESULT7" "PT8" "LT8" "STEP8" "TT8" "RESULT8" "PT9" "LT9" "STEP9" "TT9" "RESULT9" "PT10" "LT10" "STEP10" "TT10" "RESULT10"
"54" 0 20.5 90406 91297 48 118844 1 13329 14188 17 17610 1 8656 9344 22 13891 1 60640 61797 29 73828 1 105140 108953 42 113953 1 10266 11547 25 17125 1 25313 27688 54 38313 1 18704 19719 39 29204 1 78406 79375 44 99735 1 28250 29828 46 41047 1
"55" 0 20.167 12079 13219 46 36172 1 16063 16656 17 19578 1 6703 7594 20 11484 1 14875 15532 27 21157 1 17000 21453 42 28859 1 33860 35531 23 39953 1 22140 24468 52 36250 1 16703 23765 10 35031 0 33578 34219 44 45203 1 10469 11688 46 23907 1
"56" 0 19.25 21484 22781 45 218750 1 13094 14094 17 23828 1 17485 18469 20 23297 1 24671 25484 27 32890 1 13500 19906 44 28156 1 33906 35859 23 41531 1 88015 90687 29 98125 1 64062 65141 33 77922 1 59235 60079 44 85047 1 43875 45187 46 205921 1
"57" 0 21.583 31110 32391 45 70219 1 44188 46516 17 50344 1 18828 19906 22 24953 1 10547 11454 27 18672 1 9297 13547 42 19641 1 29625 31828 15 108734 0 43125 45750 29 53656 1 16422 17485 39 26875 1 17485 18328 46 33891 1 14547 15781 46 37219 1
"58" 0 20.333 23719 25531 48 51031 1 38437 39703 17 44843 1 19328 25375 22 33156 1 15546 17156 27 31125 1 16187 22968 40 82406 0 13469 19641 23 31969 1 44359 48547 63 105750 1 20312 21796 24 86078 0 54515 56469 66 109515 1 27015 45218 39 77687 0
"59" 0 19.167 6281 12625 45 32140 1 15282 16672 17 21641 1 15125 16406 22 31672 1 8781 11500 29 24375 1 7797 14906 42 25656 1 12547 27031 23 37688 1 33234 33234 0 33234 0 9672 11344 39 26344 1 12984 13875 44 38796 1 50844 52953 46 73860 1
"60" 1 19.833 7750 9515 45 23906 1 8735 11672 17 15204 1 7906 9437 20 14656 1 17640 22765 27 31406 1 9375 14250 42 23485 1 8500 11406 25 16594 1 21015 22937 8 29969 0 19500 21078 39 35046 1 17829 18985 46 32063 1 7250 9594 46 32063 1
"61" 0 20.667 29422 43297 46 111968 1 2156 177266 4 177266 0 9157 10657 20 23594 1 16938 18985 27 48453 1 6750 19719 19 68047 0 3688 118016 26 145891 0 26203 32031 28 85562 0 54125 68641 39 92516 1 6297 126219 3 126219 0 3750 6343 12 22218 0
"62" 0 21.667 12343 14046 46 40437 1 21422 22516 17 27094 1 29204 30735 20 37938 1 22516 23656 27 32125 1 94500 100656 42 109453 1 19703 23625 23 30921 1 32203 37266 29 44547 1 8562 10562 39 38593 1 19875 20985 44 43078 1 37562 39484 46 94250 1
"63" 0 21.25 13953 25453 46 50969 1 29359 31875 17 36890 1 10937 12453 20 21094 1 5828 7125 27 17781 1 13579 20688 42 31360 1 6219 8485 23 18110 1 12547 15390 22 54640 0 12235 13891 39 30469 1 18125 24828 46 54172 1 10500 12547 46 39172 1
